operator,amenity,layer,opening_hours,Geometry Type,Parking Station Name,Coordinates,Location ID,parking_type,Rate Zone,Zone Info,CenterPoint,CenterPoint_rad
icon,parking,-1.0,N/A,Point,icon 24hr Parking,"[-73.9725261, 40.7480887]",233,underground,N/A,N/A,"[-73.9725261, 40.7480887]","[-1.2910641364624402, 0.7111883117096959]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9741477, 40.7478748]",170,underground,N/A,N/A,"[-73.9741477, 40.7478748]","[-1.2910924387215905, 0.7111845784504259]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.976641, 40.7480971]",170,underground,N/A,N/A,"[-73.976641, 40.7480971]","[-1.2911359550158306, 0.7111884583173531]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9735069, 40.7488589]",233,underground,N/A,N/A,"[-73.9735069, 40.7488589]","[-1.2910812546517438, 0.7112017542355948]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9772802, 40.7410897]",137,underground,N/A,N/A,"[-73.9772802, 40.7410897]","[-1.2911471111604091, 0.7110661561153488]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9795852, 40.7386816]",137,underground,N/A,N/A,"[-73.9795852, 40.7386816]","[-1.2911873409996677, 0.7110241268416315]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9850042, 40.7354477]",107,underground,N/A,N/A,"[-73.9850042, 40.7354477]","[-1.2912819203918333, 0.7109676846389513]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9715648, 40.7531664]",233,N/A,N/A,N/A,"[-73.9715648, 40.7531664]","[-1.2910473586123408, 0.7112769342931244]"
Astor Terrace,parking,N/A,N/A,Point,Astor Terrace Parking Garage,"[-73.948933, 40.7829104]",263,N/A,N/A,N/A,"[-73.948933, 40.7829104]","[-1.2906523591866879, 0.7117960650258376]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9523416, 40.7741519]",263,underground,N/A,N/A,"[-73.9523416, 40.7741519]","[-1.2907118504795714, 0.7116432003633018]"
N/A,parking,-1.0,N/A,Point,Metropolitan Museum,"[-73.9637038, 40.7779109]",43,underground,N/A,N/A,"[-73.9637038, 40.7779109]","[-1.2909101582798417, 0.7117088072898842]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9479838, 40.8349808]",244,N/A,N/A,N/A,"[-73.9479838, 40.8349808]","[-1.290635792521428, 0.712704864948668]"
N/A,parking,-1.0,24/7,Point,Unnamed,"[-73.985735, 40.763126]",48,underground,N/A,N/A,"[-73.985735, 40.763126]","[-1.291294675258007, 0.7114507621053061]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9957306, 40.7254697]",114,underground,N/A,N/A,"[-73.9957306, 40.7254697]","[-1.2914691313887192, 0.7107935356861873]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-74.0094869, 40.711867]",231,N/A,N/A,N/A,"[-74.0094869, 40.711867]","[-1.2917092241166113, 0.7105561237840262]"
Nomad Tower Garage,parking,-1.0,06:00-24:00,Point,Unnamed,"[-73.9875692, 40.7478813]",164,underground,N/A,N/A,"[-73.9875692, 40.7478813]","[-1.2913266880871468, 0.7111846918968273]"
88 Madison Street Parking,parking,N/A,N/A,Point,Unnamed,"[-73.9959691, 40.7119665]",45,surface,N/A,N/A,"[-73.9959691, 40.7119665]","[-1.2914732939989853, 0.710557860386632]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9665862, 40.7624958]",237,N/A,N/A,N/A,"[-73.9665862, 40.7624958]","[-1.290960465650201, 0.71143976304036]"
MPG,parking,-1.0,N/A,Point,MPG Manhattan Parking: MP Hudson,"[-74.0026487, 40.7530901]",246,underground,N/A,N/A,"[-74.0026487, 40.7530901]","[-1.2915898750117014, 0.7112756026069051]"
N/A,parking,-1.0,N/A,Point,Quik Park,"[-73.9547141, 40.7804655]",236,underground,N/A,N/A,"[-73.9547141, 40.7804655]","[-1.290753258416075, 0.7117533934709556]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9885664, 40.771019]",143,underground,N/A,N/A,"[-73.9885664, 40.771019]","[-1.2913440925104478, 0.711588520943166]"
Icon,parking,N/A,N/A,Point,Unnamed,"[-73.9809319, 40.7714389]",142,multi-storey,N/A,N/A,"[-73.9809319, 40.7714389]","[-1.2912108453487043, 0.7115958495806951]"
Icon,parking,N/A,N/A,Point,Unnamed,"[-73.9813972, 40.7707218]",142,multi-storey,N/A,N/A,"[-73.9813972, 40.7707218]","[-1.2912189663657139, 0.711583333824629]"
Little Man Parking,parking,-1.0,N/A,Point,Unnamed,"[-73.993645, 40.7482605]",186,underground,N/A,N/A,"[-73.993645, 40.7482605]","[-1.2914327308018396, 0.7111913101853509]"
