Location ID,amenity,Parking Station Name,operator,Rate Zone,Zone Info,opening_hours,layer,parking_type,Coordinates,Geometry Type,CenterPoint
230,parking,Quik Park,"Crown Parking, LLC",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9851191, 40.7606886]",Point,"[-73.9851191, 40.7606886]"
233,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,N/A,"[-73.9706979, 40.7536149]",Point,"[-73.9706979, 40.7536149]"
137,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,multi-storey,"[-73.9774687, 40.7452795]",Point,"[-73.9774687, 40.7452795]"
137,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.97884, 40.7440251]",Point,"[-73.97884, 40.7440251]"
170,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.978958, 40.7462336]",Point,"[-73.978958, 40.7462336]"
233,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9712031, 40.7459331]",Point,"[-73.9712031, 40.7459331]"
233,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9715741, 40.7451091]",Point,"[-73.9715741, 40.7451091]"
162,parking,Quik Park Garage,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9732633, 40.7537377]",Point,"[-73.9732633, 40.7537377]"
113,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.991328, 40.729394]",Point,"[-73.991328, 40.729394]"
137,parking,Waterside Plaza Parking,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,garage,"[-73.9735451, 40.7378339]",Point,"[-73.9735451, 40.7378339]"
